name,chain,city,source,external_id,address,lat,lng,google_maps_url,booking_url,id,created_at
Palembang Icon,Cinepolis,Palembang,cinepolis,5715964f-7944-4d6c-9855-26c6a85819d3,"Palembang Icon Mall Lantai 3 No. 55 (L3-55), Jl. POM IX, Kel. Lorok Pakjo Kec. Ilir Barat I, Palembang , Palembang",-2.978104,104.744824,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=5715964f-7944-4d6c-9855-26c6a85819d3&title=palembang-icon,3abccc3e-885f-4b86-8f1b-e35722902b14,2026-05-27T17:33:04.045469
Plaza Medan Fair,Cinepolis,Medan,cinepolis,2db57f5c-f77b-46af-b2a9-658080c9ce91,"Jalan Gatot Subroto No.30, Sekip, Medan Petisah, Sekip, Medan Petisah, Kota Medan, Sumatera Utara , Medan",3.592565,98.663555,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=2db57f5c-f77b-46af-b2a9-658080c9ce91&title=plaza-medan-fair,5c17a28f-4e38-438f-af9a-c6199d782de9,2026-05-27T17:33:05.427066
Plaza Renon,Cinepolis,Renon,cinepolis,e1401a74-6c3f-4325-b159-b967ee42794f,"Jalan Raya Puputan, Niti Mandala Renon, Desa Sumerta Kelod, Denpasar Timur , Bali",-8.67333,115.244581,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=e1401a74-6c3f-4325-b159-b967ee42794f&title=plaza-renon,16e7dfe4-68e2-4958-a2ed-08eb2ad489b6,2026-05-27T17:33:06.482860
Pluit Village,Cinepolis,Pluit,cinepolis,4e2fd524-57e0-4f5e-b74a-dd7af30eb419,"Jalan Pluit Indah Raya RT.1/RW.4, Pluit, Penjaringan, RT.1/RW.4, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta , Jakarta",-6.116703,106.789716,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=4e2fd524-57e0-4f5e-b74a-dd7af30eb419&title=pluit-village,e5334d27-206a-40c3-bd25-23073182b611,2026-05-27T17:33:07.864691
Pondok Kelapa Town Square,Cinepolis,Pondok Kelapa,cinepolis,31fc9ac4-5fb3-4c41-928d-504b76a28952,"Jl. Pondok Kelapa Raya, RT.16/RW.2, Pondok Kelapa., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta , Jakarta",-6.2406882,106.9156438,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=31fc9ac4-5fb3-4c41-928d-504b76a28952&title=pondok-kelapa-town-square,c0ca8d26-5f5f-449d-9470-da188dd825fb,2026-05-27T17:33:09.350056
Ponorogo City Center,Cinepolis,Ponorogo,cinepolis,95855762-900e-44a6-9453-9c457375595e,"Ponorogo City Center, 1st Floor, AT 1 No 19-21 Ir. Juanda No -25 , Ponorogo",-7.870566,111.483561,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=95855762-900e-44a6-9453-9c457375595e&title=ponorogo-city-center,bb14e7b0-fd93-4eeb-aa36-d9004fdedf74,2026-05-27T17:33:11.437435
Q mall Banjarbaru,Cinepolis,Banjarbaru,cinepolis,14125032-cea5-46ab-b1a9-4cb570e92750,"Jalan A. Yani KM 36,8 RT 001 RW 001 Kelurahan Sungai Ulin Kecamatan Banjarbaru Utara , Banjarbaru",-3.439183,114.848496,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=14125032-cea5-46ab-b1a9-4cb570e92750&title=q-mall-banjarbaru,9b310d77-b330-47c5-a70f-3a0f15ebc6ac,2026-05-27T17:33:12.350824
Senayan Park,Cinepolis,Jakarta Pusat,cinepolis,ccc7263c-717f-4d4f-b5e1-cc6933fd4982,"Taman Ria Senayan Jl. Gerbang Pemuda No.3 Gelora , Jakarta",-6.212,106.8053,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=ccc7263c-717f-4d4f-b5e1-cc6933fd4982&title=senayan-park,f0c5da35-7691-4167-80e5-6df24087959c,2026-05-27T17:33:14.446492
Siantar City Square,Cinepolis,Pematang Siantar,cinepolis,bf6d9964-9ae0-4f70-8c54-aa3e73a5382f,"Gedung siantar city square, Jl. Raya Medan no 88, Martoba, Kecamatan siantar utara, Naga Pita, Kota Pematang Siantar, Sumatera Utara , Pematang Siantar",2.9877596,99.0811995,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=bf6d9964-9ae0-4f70-8c54-aa3e73a5382f&title=siantar-city-square,3c2fce7d-0b88-49b0-8e68-989789c14841,2026-05-27T17:33:15.375288
Sidewalk Jimbaran,Cinepolis,Jimbaran,cinepolis,2e26a885-8172-4f76-b09d-09dadbac0d8f,"Jl Raya Uluwatu, Jimbaran, Kuta Selatan, Badung, Bali , Bali",-8.7961265,115.1611691,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=2e26a885-8172-4f76-b09d-09dadbac0d8f&title=sidewalk-jimbaran,fab95364-e275-4327-9eff-79d218cd1b97,2026-05-27T17:33:17.274126
Sun Plaza,Cinepolis,Medan,cinepolis,8ed5c62f-d8b6-47bd-a33a-0672805dfdf5,"Jalan K.H Zainul Arifin no.7 ,Level 4 zone A-22,kelurahan madras hulu, Kec Medan Polonia , Medan",3.582305,98.672152,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=8ed5c62f-d8b6-47bd-a33a-0672805dfdf5&title=sun-plaza,980a51ea-4f90-40d6-a2f0-89c1de6e0b8d,2026-05-27T17:33:18.987849
Tamini Square,Cinepolis,Tamini Square,cinepolis,9f91d231-1ecb-46f6-86bd-61c3e16336b4,"Tamini Square Lantai 2 SB-6, Jalan Taman Mini Raya, Kelurahan Pinang Ranti, Kecamatan Makasar, Kota administrasi Jakarta Timur , Jakarta",-6.290966,106.882243,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=9f91d231-1ecb-46f6-86bd-61c3e16336b4&title=tamini-square,d0f53b3d-9ff0-432e-ad30-436100f3ab27,2026-05-27T17:33:19.868915
The Park Pejaten,Cinepolis,Pejaten,cinepolis,39506c8a-951d-4cbd-ad98-b3a697766214,"Jl. Warung Jati Barat No.39, Jati Padang, Ps. Minggu, The Park Pejaten , Jakarta",-6.2805517,106.8289522,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=39506c8a-951d-4cbd-ad98-b3a697766214&title=the-park-pejaten,fcacc908-6800-4162-b4ea-6b7dcd1b65d2,2026-05-27T17:33:21.953545
